Username,Repository,Language,Number of contributors
madMAx43v3r , chia-plotter,C,4
TuSimple , naive-ui,TypeScript,5
ToolJet , ToolJet,JavaScript,5
maaslalani , slides,Go,4
PaddlePaddle , PaddleHub,Python,5
project-chip , connectedhomeip,---,5
goldbergyoni , nodebestpractices,JavaScript,5
Charmve , computer-vision-in-action,Jupyter,1
public-apis , public-apis,Python,5
escape2020 , school2021,Jupyter,5
firstcontributions , first-contributions,---,5
PaddlePaddle , PaddleNLP,Python,5
tgbot-collection , YYeTsBot,Python,3
mechaniac , Map-of-Javascript,JavaScript,1
ParthJadhav , Tkinter-Designer,Python,4
jhu-ep-coursera , fullstack-course4,JavaScript,5
notepad-plus-plus , notepad-plus-plus,---,5
lan-tianxiang , jd_shell,JavaScript,1
rails , webpacker,Ruby,5
calendso , calendso,TypeScript,5
danistefanovic , build-your-own-x,---,5
vuejs , vue-next,TypeScript,5
iamadamdev , bypass-paywalls-chrome,JavaScript,5
jlevy , the-art-of-command-line,---,5
dortania , OpenCore-Legacy-Patcher,Python,5
